Дата,Позиция,Тикер,Вход,Стоп,Тейк,Сумма входа,Принудительно закрыть,message_id
2023-09-29 16-30-00,LONG,STORJUSDT,0.4437,0.3956,0.53028,147.59,2023-10-01 18-30-00,1202
2023-09-30 16-30-00,LONG,APTUSDT,5.4765,5.3197,5.75874,558.83,2023-10-02 18-30-00,1206
2023-09-30 18-00-00,LONG,MKRUSDT,1533.0,1473.0,1641.0,408.8,2023-10-02 20-00-00,1207
2023-09-30 19-00-00,LONG,DOGEUSDT,0.06264,0.06173,0.06428,1101.36,2023-10-02 21-00-00,1208
2023-10-01 01-30-00,LONG,ANKRUSDT,0.02022,0.01973,0.0211,660.24,2023-10-03 03-30-00,1210
